-109, 620, 1559
-85, 729, 1666
-5, 823, 1741
11, 973, 1741
-99, 940, 1627
-192, 761, 1395
-277, 632, 1189
-277, 632, 1189
-337, 504, 1017
-382, 407, 915
-434, 277, 860
-465, 174, 815
-457, 88, 809
-479, 59, 838
-470, 25, 813
-470, 25, 813
-469, -29, 810
-458, -68, 807
-445, -73, 812
-452, -101, 842
-481, -101, 881
-505, -129, 909
-552, -142, 938
-552, -142, 938
-597, -141, 956
-635, -115, 993
-638, -96, 1020
-644, -87, 1044
-660, -44, 1082
-702, -14, 1168
-795, 16, 1328
-886, 52, 1539
-922, 194, 1662
-922, 194, 1662
-863, 310, 1668
-779, 410, 1626
-679, 536, 1571
-588, 593, 1412
-496, 534, 1172
-404, 453, 950
-316, 404, 745
-220, 374, 549
-172, 273, 362
-172, 273, 362
-131, 171, 269
-132, 73, 188
-95, 39, 68
-40, 23, -61
-40, 23, -61
29, 7, -63
30, -55, 43
6, -55, 137
6, -55, 137
49, -24, 172
63, -41, 202
63, -41, 202
32, -198, 238
-55, -457, 302
-117, -712, 334
-243, -1027, 420
-412, -1444, 513
-552, -1789, 505
-666, -1996, 515
-683, -1998, 452
-600, -1998, 439
-457, -1849, 510
-332, -1451, 604
-265, -1108, 727
-165, -771, 885
-165, -771, 885
-139, -350, 1098
-218, 146, 1351
-245, 445, 1602
-253, 632, 1745
-264, 853, 1881
-306, 941, 1883
-338, 824, 1673
-398, 664, 1462
-407, 508, 1235
-443, 347, 1039
-470, 192, 898
-470, 192, 898
-471, 68, 789
-487, -28, 733
-487, -120, 727
-483, -155, 739
-463, -161, 736
-443, -141, 757
-396, -142, 747
-390, -161, 780
-383, -169, 812
-383, -169, 812
-400, -201, 842
-441, -246, 906
-462, -298, 927
-494, -326, 931
-505, -353, 913
-553, -414, 930
-627, -445, 981
-655, -373, 996
-688, -299, 1007
-710, -246, 1018
-729, -162, 1029
-695, -22, 1089
-667, 146, 1255
-667, 146, 1255
-642, 354, 1539
-583, 609, 1863
-460, 852, 1998
-316, 1027, 1998
-195, 1071, 1992
-141, 960, 1732
-82, 778, 1347
67, 675, 1174
174, 725, 1078
240, 621, 945
240, 621, 945
270, 420, 720
284, 197, 512
306, 47, 403
379, -56, 307
379, -56, 307
489, -184, 202
570, -356, 130
616, -526, 70
665, -672, -60
581, -772, -114
581, -772, -114
434, -1016, -98
174, -1446, -52
-93, -1717, -69
-272, -1900, 9
-398, -1998, 107
-439, -1998, 171
-431, -1992, 367
-317, -1810, 571
-221, -1391, 937
-217, -983, 1345
-179, -370, 1557
-190, -40, 1719
-190, 266, 1848
-167, 562, 1931
-165, 811, 1854
-165, 811, 1854
-205, 804, 1612
-268, 673, 1448
-277, 607, 1279
-289, 568, 1146
-331, 479, 1030
-343, 373, 940
-355, 274, 893
-351, 217, 850
-345, 188, 826
-345, 188, 826
-322, 162, 810
-313, 93, 841
-321, 23, 887
-326, -19, 934
